,student,no_passed_courses_3,no_of_failed_courses_3,no_of_unattempted_courses_3,avg_grade_all_courses_3,no_passed_courses_2,no_of_failed_courses_2,no_of_unattempted_courses_2,avg_grade_all_courses_2,no_passed_courses_1,no_of_failed_courses_1,no_of_unattempted_courses_1,avg_grade_all_courses_1,label
163,982,0.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,3.0,2.5,0
167,990,0.0,0.0,2.0,0.0,8.0,0.0,1.0,2.9,2.0,0.0,0.0,2.0,0
168,991,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,3.4,0
169,994,0.0,0.0,4.0,0.0,2.0,0.0,0.0,2.3,0.0,0.0,0.0,5.1,0
170,995,4.0,1.0,4.0,3.3,4.0,1.0,1.0,3.1,6.0,0.0,0.0,2.6,1
172,999,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,2.0,1.5,0
173,1000,1.0,0.0,2.0,2.3,0.0,0.0,3.0,0.0,3.0,0.0,0.0,2.0,0
178,1009,4.0,0.0,1.0,1.3,3.0,0.0,0.0,1.6,3.0,0.0,0.0,1.9,1
179,1011,1.0,0.0,1.0,2.0,0.0,0.0,3.0,0.0,11.0,3.0,0.0,2.8,0
180,1012,4.0,0.0,0.0,1.4,1.0,1.0,1.0,3.8,3.0,0.0,0.0,1.7,1
182,1018,0.0,0.0,2.0,0.0,3.0,0.0,2.0,2.2,4.0,1.0,0.0,2.3,0
184,1025,5.0,0.0,1.0,2.0,4.0,0.0,0.0,2.0,3.0,0.0,0.0,2.3,1
185,1034,6.0,0.0,0.0,2.3,5.0,0.0,0.0,1.6,6.0,0.0,0.0,1.6,1
186,1036,0.0,0.0,4.0,0.0,0.0,0.0,6.0,0.0,4.0,0.0,0.0,1.5,0
188,1040,0.0,0.0,3.0,0.0,1.0,0.0,1.0,2.3,1.0,1.0,0.0,3.6,0
193,1074,5.0,1.0,0.0,2.3,9.0,0.0,2.0,1.8,11.0,0.0,2.0,2.3,1
196,1086,7.0,0.0,0.0,2.1,5.0,0.0,1.0,1.9,5.0,0.0,0.0,1.7,0
200,1095,4.0,0.0,0.0,1.8,5.0,0.0,0.0,1.9,3.0,0.0,0.0,1.5,0
201,1097,5.0,0.0,0.0,1.9,19.0,0.0,0.0,3.4,6.0,0.0,0.0,2.4,1
203,1099,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,0.0,0
204,1100,6.0,0.0,0.0,2.3,6.0,0.0,0.0,1.8,6.0,0.0,0.0,1.8,1
205,1102,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,0.0,0
206,1103,0.0,0.0,3.0,0.0,1.0,0.0,2.0,2.7,1.0,0.0,0.0,2.0,0
212,1119,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,1.3,0
213,1121,2.0,0.0,3.0,2.0,2.0,0.0,4.0,2.5,3.0,0.0,1.0,2.1,0
214,1122,0.0,0.0,3.0,0.0,1.0,1.0,0.0,3.6,2.0,1.0,0.0,3.1,0
215,1125,1.0,0.0,0.0,1.7,0.0,0.0,0.0,5.1,0.0,0.0,0.0,5.1,0
223,1174,8.0,0.0,0.0,2.2,6.0,0.0,0.0,1.5,4.0,0.0,1.0,1.4,1
229,1192,7.0,1.0,0.0,2.5,7.0,0.0,0.0,1.9,4.0,0.0,0.0,2.0,1
232,1209,7.0,0.0,0.0,1.2,3.0,0.0,3.0,1.6,5.0,0.0,1.0,1.2,1
234,1213,7.0,0.0,0.0,1.9,6.0,0.0,0.0,1.8,5.0,1.0,0.0,2.5,0
238,1225,5.0,1.0,0.0,2.0,6.0,0.0,0.0,1.4,10.0,0.0,0.0,2.8,1
239,1229,3.0,0.0,0.0,2.6,1.0,2.0,0.0,4.2,2.0,1.0,0.0,2.8,1
242,1273,6.0,0.0,0.0,1.7,6.0,0.0,0.0,1.4,7.0,0.0,0.0,1.3,0
244,1279,2.0,0.0,0.0,1.8,0.0,0.0,0.0,5.1,0.0,0.0,0.0,5.1,0
252,1305,3.0,0.0,0.0,1.4,3.0,0.0,0.0,1.0,3.0,0.0,0.0,1.1,0
256,1312,2.0,0.0,0.0,1.8,1.0,0.0,0.0,4.0,2.0,0.0,0.0,2.8,0
262,1324,4.0,0.0,0.0,2.1,3.0,0.0,0.0,1.8,2.0,0.0,0.0,1.4,0
267,1337,1.0,0.0,0.0,2.7,1.0,0.0,0.0,1.0,6.0,0.0,0.0,2.6,0
272,1528,3.0,0.0,0.0,3.3,12.0,0.0,0.0,1.5,6.0,0.0,0.0,1.8,1
