,student,no_passed_courses_4,no_of_failed_courses_4,no_of_unattempted_courses_4,avg_grade_all_courses_4,no_passed_courses_3,no_of_failed_courses_3,no_of_unattempted_courses_3,avg_grade_all_courses_3,no_passed_courses_2,no_of_failed_courses_2,no_of_unattempted_courses_2,avg_grade_all_courses_2,no_passed_courses_1,no_of_failed_courses_1,no_of_unattempted_courses_1,avg_grade_all_courses_1,label
86,717,2.0,1.0,0.0,3.0,3.0,0.0,0.0,1.8,3.0,0.0,0.0,2.4,3.0,0.0,0.0,1.8,0
88,719,5.0,0.0,0.0,1.5,3.0,0.0,0.0,1.5,4.0,1.0,0.0,2.6,12.0,0.0,0.0,2.8,1
89,720,6.0,0.0,0.0,1.8,6.0,0.0,0.0,2.2,6.0,0.0,0.0,2.3,6.0,0.0,0.0,2.0,1
91,723,5.0,0.0,0.0,1.5,5.0,0.0,0.0,1.5,4.0,0.0,0.0,1.9,5.0,0.0,0.0,2.1,1
92,724,3.0,0.0,0.0,2.6,5.0,0.0,0.0,2.8,4.0,0.0,0.0,2.7,3.0,1.0,0.0,2.8,1
93,725,6.0,0.0,0.0,1.8,6.0,0.0,0.0,2.0,6.0,0.0,0.0,1.7,6.0,0.0,0.0,2.3,1
94,727,3.0,0.0,0.0,1.8,3.0,1.0,0.0,3.9,3.0,0.0,0.0,3.1,2.0,1.0,0.0,2.9,1
95,728,7.0,0.0,0.0,1.8,4.0,0.0,0.0,1.8,6.0,0.0,0.0,2.0,4.0,1.0,0.0,2.3,1
96,729,4.0,0.0,0.0,1.8,4.0,0.0,0.0,1.1,5.0,0.0,0.0,1.3,6.0,0.0,0.0,1.7,1
97,730,5.0,0.0,0.0,2.1,6.0,0.0,0.0,1.4,4.0,0.0,0.0,1.6,3.0,0.0,0.0,1.3,1
98,731,2.0,0.0,0.0,1.5,6.0,0.0,0.0,2.7,5.0,0.0,0.0,2.1,14.0,0.0,0.0,3.0,1
99,734,2.0,0.0,0.0,3.2,1.0,0.0,0.0,1.7,1.0,0.0,0.0,2.7,0.0,0.0,0.0,5.1,0
100,738,2.0,1.0,0.0,3.8,1.0,0.0,0.0,1.7,1.0,3.0,0.0,4.5,2.0,0.0,0.0,2.2,0
101,740,3.0,1.0,0.0,2.9,9.0,0.0,0.0,3.1,4.0,0.0,0.0,2.7,3.0,0.0,0.0,2.6,1
102,742,3.0,0.0,0.0,1.6,5.0,0.0,0.0,1.7,3.0,0.0,0.0,2.4,5.0,0.0,0.0,1.2,1
104,744,4.0,0.0,0.0,1.9,3.0,0.0,0.0,2.7,4.0,1.0,0.0,2.7,5.0,0.0,0.0,2.1,0
105,751,1.0,1.0,0.0,3.6,0.0,0.0,0.0,5.1,0.0,0.0,0.0,5.1,0.0,0.0,0.0,5.1,0
106,780,3.0,0.0,0.0,1.8,3.0,0.0,0.0,2.0,3.0,0.0,0.0,1.8,5.0,0.0,0.0,1.9,1
107,781,4.0,0.0,0.0,1.5,4.0,1.0,0.0,3.2,5.0,0.0,0.0,1.7,5.0,0.0,0.0,1.9,1
