;M01_2_N;M02_2_N;M03_2_N;M04_2_N;M05_2_N;M06_2_N;M07_2_N;M08_2_N;M09_2_N;M10_2_N;M11_2_N;M12_2_N;status
212;5.1;5.1;5.0;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
213;1.7;3.7;2.7;5.1;1.7;5.1;5.1;5.1;2.7;5.1;5.1;5.1;1
214;5.1;5.1;5.1;5.1;1.3;5.1;5.1;1.7;5.1;5.1;5.1;5.1;1
215;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
216;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
217;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
218;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
219;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
220;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
221;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
222;5.1;5.1;1.7;5.1;1.7;5.0;5.1;5.1;5.1;5.1;5.1;5.1;1
223;5.1;5.1;5.0;5.1;5.0;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
224;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
225;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
226;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
227;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
228;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
229;5.1;5.1;5.0;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
230;5.1;5.0;5.0;5.1;5.1;5.0;5.1;5.1;5.1;5.1;5.1;5.1;1
231;5.1;5.1;5.0;5.1;5.0;5.1;5.1;5.1;5.0;5.1;5.1;5.1;1
232;3.7;5.0;1.7;3.7;2.3;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
233;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
234;4.0;3.3;5.1;5.1;3.3;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
235;4.0;5.0;3.7;5.1;1.3;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
236;3.0;5.0;2.0;5.1;1.7;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
237;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
238;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
239;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
240;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
241;4.0;5.0;3.3;5.1;2.7;5.1;5.1;2.7;5.1;5.1;5.1;5.1;1
242;2.7;5.1;2.0;5.1;1.3;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
243;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
244;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
245;5.0;5.0;2.7;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
246;5.1;5.1;5.1;4.0;2.3;5.0;5.1;5.1;5.1;5.1;5.1;5.1;1
247;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
248;2.7;5.0;1.3;5.1;1.3;1.0;5.1;1.7;5.1;5.1;5.1;5.1;0
249;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
250;2.3;5.0;1.7;5.1;2.0;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
251;1.7;1.3;1.0;1.0;2.0;1.3;5.1;5.1;5.1;5.1;5.1;5.1;1
252;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
253;3.0;2.0;5.1;5.1;5.1;3.0;5.1;5.1;5.1;5.1;5.1;5.1;1
254;3.3;5.0;1.3;1.0;2.0;4.0;5.1;1.7;1.7;1.0;5.1;5.1;1
255;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;5.1;1
256;5.0;5.0;5.1;5.0;2.0;5.1;5.1;5.0;2.0;5.0;5.1;5.1;1
