;M01_1_N;M02_1_N;M03_1_N;M04_1_N;M05_1_N;M06_1_N;status
261;5.1;1.3;5.0;5.0;5.0;5.1;1
262;5.1;5.1;5.1;5.1;5.1;5.1;1
263;5.1;5.1;5.1;5.1;5.1;5.1;1
264;5.1;5.1;5.1;2.3;1.7;5.1;1
265;5.1;5.1;5.1;5.1;5.1;5.1;1
266;5.1;5.1;5.1;5.1;5.1;5.1;1
267;5.1;5.1;5.1;5.1;5.1;5.1;1
268;5.1;5.1;5.1;5.1;5.1;5.1;1
269;5.1;5.0;1.7;5.1;5.1;5.1;1
270;5.1;4.0;2.3;5.1;5.1;5.1;1
271;5.1;5.1;5.1;5.1;5.1;5.1;1
272;5.1;5.1;5.1;5.1;5.1;5.1;1
273;5.1;5.1;5.1;5.1;5.1;5.1;1
274;5.1;1.0;2.0;5.1;5.1;5.1;1
275;5.1;5.1;5.1;5.1;5.1;5.1;1
276;5.1;2.3;5.1;5.1;5.1;5.1;1
277;5.1;5.1;5.1;5.1;5.1;5.1;1
278;5.1;5.1;5.1;5.1;5.1;5.1;1
279;5.1;5.1;5.1;5.1;5.1;5.1;1
280;5.1;5.1;5.1;5.1;5.1;5.1;1
281;5.1;5.1;5.1;5.1;5.1;5.1;1
282;5.1;5.1;5.1;5.1;5.1;5.1;1
283;5.1;5.1;5.1;5.1;5.1;5.1;1
284;5.1;5.1;5.1;5.1;5.1;5.1;1
285;5.1;5.1;5.1;5.1;5.1;5.1;1
286;5.1;5.1;5.1;5.1;5.1;5.1;1
287;5.1;5.1;5.1;5.1;5.1;5.1;1
288;5.1;5.1;5.1;5.1;5.1;5.1;1
289;5.1;5.1;5.1;5.1;5.1;5.1;1
290;5.1;5.1;5.1;4.0;2.0;1.3;1
291;1.0;2.3;1.7;2.3;1.7;2.0;1
292;1.7;5.0;5.1;2.3;5.1;2.7;1
293;5.1;5.1;5.1;5.1;5.1;5.1;1
294;5.1;5.1;5.1;5.1;5.1;5.1;1
295;5.1;5.1;5.1;5.1;5.1;5.1;1
296;1.7;5.0;1.3;3.3;5.1;5.1;1
297;2.7;5.1;5.1;2.7;2.0;2.7;0
298;5.1;5.1;5.1;5.1;2.0;5.1;1
299;5.1;5.1;5.1;5.1;5.1;5.1;1
300;2.0;5.1;5.1;3.0;2.3;2.0;0
301;5.1;5.1;2.3;5.1;1.7;5.1;1
302;5.1;5.1;5.0;5.1;5.1;5.1;1
303;1.7;3.7;5.1;5.1;5.1;5.1;1
304;5.1;5.1;5.1;5.1;5.1;5.1;1
305;5.1;5.1;5.1;5.1;1.3;5.1;1
306;5.1;5.1;5.1;5.1;5.1;5.1;1
307;5.1;5.1;5.1;5.1;5.1;5.0;1
308;5.1;5.1;5.1;5.1;5.1;5.1;1
309;5.1;5.1;5.1;5.1;5.1;5.1;1
310;5.1;5.1;5.1;5.1;5.1;5.1;1
311;5.1;5.1;5.1;5.1;5.1;5.1;1
312;5.1;5.1;5.1;5.1;5.1;5.1;1
313;5.1;5.1;5.1;5.1;5.1;5.1;1
314;5.1;5.1;5.1;5.1;5.1;5.1;1
315;5.1;5.1;5.1;5.1;5.1;5.1;1
316;5.1;5.1;5.1;5.1;5.1;5.1;1
317;5.1;5.1;5.1;5.1;1.7;5.1;1
318;5.1;5.1;5.0;5.1;5.0;5.1;1
319;5.1;5.1;5.1;5.1;5.1;5.1;1
320;5.1;5.1;5.1;5.1;5.1;5.1;1
321;5.1;5.1;5.1;5.1;5.1;5.1;1
322;5.1;5.1;5.1;5.1;5.1;5.1;1
323;5.1;5.1;5.1;5.1;5.1;5.1;1
324;5.1;5.1;5.1;5.1;5.1;5.1;1
